Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D5.0mm_P2.50mm,2,33uf,
"C3, C4, C5",C_Disc_D5.0mm_W2.5mm_P5.00mm,3,0.1uf,
D1,LED_D5.0mm,1,INIT,
D2,LED_D5.0mm,1,CARD,
D3,LED_D5.0mm,1,COMMAND,
DS1,WC1602A,1,WC1602A,
J1,IDC-Header_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
"JP1, JP2",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,2,SolderJumper_2_Open,
P1,Socket_Strip_Arduino_2x18,1,Digital,
P2,Socket_Strip_Arduino_1x08,1,Power,
"P3, P4",Socket_Strip_Arduino_1x08,2,Analog,
P5,Socket_Strip_Arduino_1x10,1,PWM,
P6,Socket_Strip_Arduino_1x08,1,PWM,
P7,Socket_Strip_Arduino_1x08,1,Communication,
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",TO-92_HandSolder,8,2N7000,
"R1, R11, R13, R15, R17, R19, R21, R3, R5, R7, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,11,390R,
"R10, R12, R14, R16, R18, R2, R20, R22, R6, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10,180R,
R23,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,100R,
"R24, R25, R26",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,3,330R,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,120R,
RV1,TRIM_3362P-1-103,1,10K,
SD1,Catalex-MicroSD-Card-Up-No-Holes,1,CARD-SD-ADAPTER-CATALEX,
SW1,SW_PUSH_6mm_H4.3mm,1,MENU/ESC,
SW2,SW_PUSH_6mm_H4.3mm,1,DOWN,
SW3,SW_PUSH_6mm_H4.3mm,1,UP,
SW4,SW_PUSH_6mm_H4.3mm,1,ENTER,
U1,DIP-14_W7.62mm_Socket_LongPads,1,74HCT14,
